,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2400,four,,pilliow,,,,frightening,
2401,recor,,ipo,,,,clowndolls,
2402,53209,,hung,,,,deserve,
2403,entertain,,betch,,,,alright,
2404,observe,,corn,,,,fd,
2405,putonashow,,arturo,,,,wide,
2406,jogged,,kidnap,,,,happyy,
2407,sweated,,selena,,,,birthdayy,
2408,pool,,gomez,,,,assume,
2409,shoul,,android,,,,exists,
2410,caffeine,,overloa,,,,south,
2411,crash,,nexus,,,,13,
2412,dry,,launch,,,,downstairs,
2413,zack,,detail,,,,loop,
2414,brayden,,tmobile,,,,outside,
2415,apart,,2day,,,,homee,
2416,grhehsiskrnfjfkdkdid,,halo,,,,cuhz,
2417,behind,,graphic,,,,drinkinq,
2418,righht,,direction,,,,drivinqq,
2419,moved,,gosh,,,,gim,
2420,fukk,,nutcracker,,,,passed,
2421,cnt,,market,,,,romo,
2422,shave,,atascocita,,,,chuckchansi,
2423,november,,passed,,,,park,
2424,advantage,,needed,,,,reeally,
2425,bitching,,unnoticed,,,,mann,
2426,wee,,shrug,,,,ending,
2427,knoow,,user,,,,ufo,
2428,bowman,,interface,,,,bunker,
2429,soiree,,overcomplicate,,,,randy,
2430,cancele,,pas,,,,—,
2431,surfing,,traveler,,,,navy,
2432,lame,,test,,,,tx,
2433,migraine,,visit,,,,pharmacy,
2434,stress,,momwere,,,,tech,
2435,h4,,momshe,,,,accept,
2436,fifa,,alowed,,,,rap,
2437,daamn,,ewweeww,,,,superstar,
2438,kept,,retweet,,,,nicki,
2439,foreplay,,geeked,,,,minaj,
2440,kissn,,rising,,,,announced,
2441,hea,,fancy,,,,guest,
2442,fuckn,,restaurant,,,,presenter,
2443,daym,,ordered,,,,2012,
2444,..,,bacon,,,,aria,
2445,...,,ultimate,,,,elsa,
2446,",",,cheeseburger,,,,heat,
