,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
468,hair,dyoumb,leave,late,biggo,gorgeous,ppl,frenchie
469,cedric,sure,country,omfg,cross,best,text,mia
470,tyler,swear,warne,duper,without,number,rather,im
471,make,olive,effective,ob,“,inbox,alwayyss,glad
472,sandwich,garden,obamacare,show,nutella,digit,burn,spend
473,fucking,everyone,full,conflicted,facebook,plz,popcorn,together
474,18,stare,effect,whether,spring,remembered,put,hey
475,yet,ion,nah,polisci,playing,boston,le,changed
476,light,short,looking,straight,purple,mile,sex,name
477,fire,4,camera,engineering,oh,away,rest,noticed
478,dare,8,run,nothing,blue,sound,enjoy,already
479,tequila,fiction,left,listening,0pm,daddy,right,byout
480,happened,chili,foot,y101,second,wallowing,ex,yeah
481,month,wth,trying,drive,working,self,boyfriend,bye
482,ago,made,edit,wait,picking,bfs,beforethroughout,apple
483,couldnt,nyc,pic,snuggle,starting,hit,relationship,bottom
484,blessed,15,niece,favorite,core,earlier,still,jean
485,hungry,hour,grab,bed,coworker,next,breakup,yoniggaa
486,sticker,filled,obliviously,snapchatting,nathan,study,ordered,chickk
487,commercial,road,difference,place,denver,exam,pizza,lishh
488,ikr,trip,welcoming,worth,naee,fun,ago,cause
489,xmas,apple,private,pizza,meatball,size,roommate,trynnaa
490,la,actually,krupa,popcorn,snapchat,boot,micha,reason
491,vega,twice,portland,junk,definitely,leg,counting,fuc
492,sober,spend,international,food,cheatn,since,many,hater
493,lost,ty,airport,lincoln,chick,clean,condom,congrats
494,contact,yep,p,grand,supposed,mess,19,breaking
495,cool,spent,chu,island,cleaning,bumping,lube,record
496,vibe,$,ya,exit,video,f,cleaning,goal
497,w,70,ex,hot,papalis,money,closet,scored
498,anyone,purse,cu,mean,town,class,1st,season
499,named,ntc,dey,wo,cousin,cute,alive,⚽
500,david,deployed,winnin,b,q,asf,c,forget
501,gim,soon,den,release,came,andfor,lik,haley
502,fiya,em,wen,fuck,marrines,havng,stevie,rock
503,bawl,gloating,friend,boyz,filipino,dimple,b4,climbing
504,white,loss,lik,ya,hanging,shes,blind,cuva123
505,yvonne,ice,'d,mikayla,trae,stranger,perfume,phoenix
506,ewell,box,yoyou,sick,mikey,pretty,bitch,gym
507,townview,heater,yoyour,mood,dimitrius,bestfriend,spray,sure
